sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,rings,target
2,0.237,0.171,0.035,2.5009,1.2398,0.3278,0.5724,4,0
0,0.415,0.297,0.043,2.7725,1.1415,0.6264,0.4952,7,0
2,0.755,0.616,0.253,0.0585,0.0234,0.0126,0.0144,13,2
2,0.205,0.17,0.07,1.5452,0.8954,0.3269,0.3419,1,0
0,0.233,0.203,0.035,0.967,0.5429,0.2565,0.3365,10,1
0,0.085,0.064,0.027,0.7842,0.3464,0.1073,0.1365,5,0
2,0.086,0.063,0.02,0.95,0.3857,0.2378,0.1524,2,0
1,0.689,0.535,0.118,1.8062,0.9268,0.4555,0.6998,17,2
2,0.617,0.476,0.177,0.5406,0.2132,0.1322,0.2081,15,2
2,0.338,0.246,0.052,2.5799,0.8664,0.5191,1.0269,8,0
2,0.592,0.494,0.194,1.3183,0.5182,0.2361,0.3566,11,1
2,0.367,0.294,0.042,0.9214,0.3965,0.1649,0.1234,9,1
0,0.78,0.658,0.302,2.1639,0.815,0.534,0.7878,17,2
2,0.791,0.609,0.096,0.0482,0.0176,0.0096,0.0069,17,2
1,0.366,0.28,0.1,1.2216,0.3687,0.2048,0.1792,7,0
0,0.707,0.562,0.262,1.0054,0.4919,0.2263,0.1589,15,2
1,0.647,0.566,0.067,0.9571,0.4636,0.2559,0.2833,13,2
1,0.304,0.215,0.076,0.9539,0.34,0.1071,0.1261,5,0
1,0.247,0.213,0.051,0.0903,0.0527,0.0266,0.0301,6,0
1,0.414,0.32,0.113,0.4316,0.1825,0.0515,0.0507,11,1
0,0.653,0.569,0.109,0.4027,0.1239,0.0815,0.0536,16,2
0,0.786,0.676,0.094,2.7938,1.0223,0.5924,0.6435,17,2
1,0.64,0.493,0.184,0.0646,0.0328,0.0082,0.0138,12,2
1,0.708,0.594,0.159,0.4738,0.1708,0.1341,0.1881,16,2
0,0.521,0.381,0.149,2.7531,0.8705,0.5349,1.0739,9,1
0,0.693,0.609,0.113,1.7762,0.862,0.2285,0.2787,13,2
0,0.655,0.511,0.132,1.2747,0.5806,0.3089,0.4895,16,2
2,0.354,0.28,0.095,0.2244,0.1186,0.0522,0.069,11,1
2,0.483,0.406,0.134,1.8931,1.0067,0.5539,0.4215,12,2
